artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type,birth_place,birth_date,death_place,death_date,gender,citizenship,occupation,work_locations
Crash,,,,,,,,,,,"Los Angeles, New York, California, USA, United States",,,"{New York:6},{United States:5},{Los Angeles:1},{California:1},{USA:1}",Yes,Graffiti,Hartlepool,1958,Hampstead,2008,male,United Kingdom,"['artist', 'sport cyclist', 'freestyle skier', 'trans activist', 'graffiti artist', 'painter']","{'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': '1971-01-01T00:00:00Z'}"
Listen,,,,,,,,,2013.0,2013.0,"Montreal, Quebec",,,"{Montreal:2},{Quebec:2}",Yes,Graffiti,,2005,,,female organism,,[],[]
John Wehrle,,,,,,,,,,,"Venice, Encino, Los Angeles",,,"{Venice:1},{Encino:1},{Los Angeles:1}",Yes,Graffiti,San Antonio,1941,,,male,,sculptor,[]
Rodez,,,,,,,,,2010.0,2014.0,"San Nicolás, Bogota, Colombia",,,"{Bogota:2},{Colombia:2},{San Nicolás:1}",Yes,Graffiti,,,,,,,[],[]
Know Hope,,,,,,,,,2012.0,2015.0,"Tunisia, Johannesburg, Atlanta, Djerba, Honolulu, Erriadh, Rochester",,,"{Erriadh:12},{Djerba:12},{Tunisia:12},{Johannesburg:6},{Rochester:3},{Honolulu:1},{Atlanta:2}",Yes,Graffiti,California,1986,,,male,Israel,painter,[]
Pez,,,,,,,,,2012.0,2018.0,"Bogota, Colombia, Amsterdam",,,"{Bogota:3},{Colombia:3},{Amsterdam:6}",Yes,Graffiti,Barcelona,1976,,,male,Spain,"['graffiti artist', 'painter', 'murderer', 'gangster', 'businessperson', 'musician']",[]
Hin,,,,,,,,,2011.0,2014.0,"East London, UK, London",,,"{East London:2},{London:2},{UK:2}",Yes,Graffiti,,,,,,,[],[]
Kobra,,,,,,,,,2013.0,2013.0,"New York, United States",,,"{New York:3},{United States:3}",Yes,Graffiti,Baku,1971,Shusha,2020,,Azerbaijan,[],[]
Saddo,,,,,,,,,2013.0,2014.0,Thailand,,,{Thailand:1},Yes,Graffiti,Mediaș,1981,,,male,Romania,artist,[]
Kram,,,,,,,,,2012.0,2012.0,"Bairro Alto, Lisboa, District - Lisboa, United States",,,"{Bairro Alto, Lisboa, District - Lisboa:2},{United States:1}",Yes,Graffiti,Finley,1974,,,male,Australia,"['drummer', 'lyricist', 'singer-songwriter', 'composer']",[]
Nomen,,,,,,,,,2011.0,2013.0,"Lisbon, Loureiro",,,"{Loureiro:1},{Lisbon:1}",Yes,Graffiti,,,,,male,Italy,lyricist,[]
Bob Simmons,,,,,,,,,,,"Austin, Texas",,,"{Austin:3},{Texas:3}",Yes,Graffiti,Fulham,1923,,1987,male,United Kingdom of Great Britain and Ireland,"['film actor', 'stunt performer', 'actor', 'football player']",[]
Akut,,,,,,,,,2008.0,2010.0,"GERMANY, Monterrey, Mexique",,,"{GERMANY:1},{Monterrey:1},{Mexique:1}",Yes,Graffiti,,1985,,,male,Indonesia,politician,[]
Beastman,,,,,,,,,2011.0,2014.0,"Perth, United States",,,"{Perth:2},{United States:1}",Yes,Graffiti,,,,,male,,[],[]
Smithe,,,,,,,,,2013.0,2013.0,,,,,Yes,Graffiti,,,,,,,[],[]
Daniel Saint,,,,,,,,,1806.0,1850.0,France,,,{France:1},Yes,Graffiti,Saint-Lô,1778,Saint-Lô,1847,male,France,painter,[]
Debe,,,,,,,,,2014.0,2015.0,"Taipei City, Wanhua District",,,"{Wanhua District:3},{Taipei City:3}",Yes,Graffiti,,,,,,,[],[]
Inkman,,,,,,,,,2014.0,2014.0,"Tunisia, Erriadh, Djerba",,,"{Erriadh:7},{Djerba:7},{Tunisia:7}",Yes,Graffiti,Tunisia,1990,,,male,Tunisia,"['graffiti artist', 'graphic designer', 'artist']",[]
Mart,,,,,,,,,2010.0,2014.0,"East London, Almagro",,,"{Almagro:1},{East London:1}",Yes,Graffiti,,,,,,,[],[]
Masai,,,,,,,,,2011.0,2014.0,"East London, Sydenham, UK, London",,,"{East London:4},{Sydenham:3},{London:5},{UK:5}",Yes,Graffiti,,,,,,,[],[]
Krah,,,,,,,,,2011.0,2014.0,"London, UK, East London",,,"{London:3},{UK:3},{East London:1}",Yes,Graffiti,,,,,,,[],[]
Elian,,,,,,,,,2011.0,2014.0,"Polska, Russia, Moscow, Atlanta, Москва, Gdynia",,,"{Polska:1},{Gdynia:1},{Москва:1},{Russia:2},{Moscow:1},{Atlanta:2}",Yes,Graffiti,Wales,600,,1794,male,Wales,"['monk', 'Wikimedian', 'sociologist', 'journalist', 'unemployed']",[]
Pau,,,,,,,,,2015.0,2018.0,Amsterdam,,,{Amsterdam:3},Yes,Graffiti,Segorbe,1857,Segorbe,1937,male,Spain,"['botanist', 'pharmacist']",[]
Imagine,,,,,,,,,2013.0,2014.0,Gairidhara,,,{Gairidhara:1},Yes,Graffiti,,1998,,,female organism,,[],[]
Katre,,,,,,,,,2013.0,2014.0,"Tunisia, Djerba, Paris, France, Erriadh, Fulton",,,"{Erriadh:3},{Djerba:3},{Tunisia:3},{Fulton:1},{Paris:3},{France:3}",Yes,Graffiti,,,,,,,[],[]
Herbert Baglione,,,{Street art:1},,,,,,2011.0,2014.0,"Tunisia, Djerba, Paris, France, Fulton, Erriadh, Rome",,,"{Fulton:1},{Paris:1},{France:1},{Erriadh:4},{Djerba:4},{Tunisia:4},{Rome:1}",Yes,Graffiti,São Paulo,1977,,,male,Brazil,"['painter', 'artist']",[]
Tizer,,,,,,,,,2012.0,2014.0,East London,,,{East London:15},Yes,Graffiti,,,,,,,[],[]
Tristan Eaton,,,,,,,,,2014.0,2015.0,"Los Angeles, Honolulu, Santa Monica, Keawe St.",,,"{Los Angeles:1},{Keawe St.:4},{Honolulu:6},{Santa Monica:1}",Yes,Graffiti,Hollywood,1978,,,male,United States of America,muralist,[]
Art Mortimer,,,,,,,,,,,"Los Angeles, St., Fairfax, Santa Monica",,,"{St.:1},{Santa Monica:1},{Fairfax:1},{Los Angeles:1}",Yes,Graffiti,,,,,male,,painter,[]
Katch,,,,,,,,,2012.0,2015.0,Honolulu,,,{Honolulu:5},Yes,Graffiti,,,,,,,[],[]
Bastardilla,,,,,,,,,2010.0,2015.0,"London, Italy, UK, Messina, Colombia, Bogota, Huechuraba, Amsterdam",,,"{Bogota:2},{Colombia:2},{Huechuraba:1},{London:1},{UK:1},{Amsterdam:5},{Messina:1},{Italy:1}",Yes,Graffiti,Bogotá,,,,female,Colombia,"['muralist', 'artist']",[]
Remed,,,{Street art:1},,,,,,2011.0,2014.0,"London, US, Johannesburg, ST, UK, Lodz, St, Miami, United Kingdom, Poland, Wynwood",,,"{St:4},{Johannesburg:12},{Wynwood:6},{Miami:6},{US:6},{ST:2},{London:5},{United Kingdom:1},{UK:3},{Poland:1},{Lodz:1}",Yes,Graffiti,,,,,male,France,muralist,[]
Momo,,,,,,,,,2011.0,2014.0,"Georgia, Atlanta, Rome",,,"{Rome:2},{Atlanta:18},{Georgia:8}",Yes,Graffiti,Savignano sul Rubicone,1820,Rome,1905,male,Kingdom of Italy,"['philologist', 'journalist', 'historian', 'sport cyclist']",[]
4B,,,,,,,,,2014.0,2014.0,"South Korea, Gyeonggi",,,"{Gyeonggi:4},{South Korea:4}",Yes,Graffiti,,,,,,,[],[]
Mosko,,,,,,,,,2008.0,2014.0,"Tunisia, Djerba, Paris, France, Erriadh, Fulton, FRANCE",,,"{Erriadh:5},{Djerba:5},{Tunisia:5},{Fulton:1},{Paris:2},{France:2},{FRANCE:1}",Yes,Graffiti,Lyaskovets,1863,,1947,male,Bulgaria,writer,[]
Awer,,,,,,,,,2012.0,2012.0,Italy,,,{Italy:3},Yes,Graffiti,,,,,,,[],[]
Heesco,,,,,,,,,2014.0,2014.0,"Victoria, Australia, Melbourne, Brunswick",,,"{Brunswick:2},{Melbourne:7},{Victoria:1},{Australia:1}",Yes,Graffiti,Ulaanbaatar,1979,,,male,,graffiti artist,[]
Roids,,,,,,,,,2013.0,2015.0,"Honolulu, St. Pauli, Germany, Hamburg",,,"{Honolulu:3},{St. Pauli:1},{Hamburg:1},{Germany:1}",Yes,Graffiti,,,,,,,[],[]
Wu Yue,,,,,,,,,2010.0,2014.0,"Honolulu, Hong Kong",,,"{Hong Kong:3},{Honolulu:4}",Yes,Graffiti,Zhangjiakou,1976,Changchun,1905,male,People's Republic of China,"['television actor', 'film producer', 'film director', 'singer', 'actor', 'revolutionary', 'politician', 'table tennis player', 'calligrapher', 'swimmer', 'chemist']",[]
Léon Bonvin,,,{Modern art:1},,,,,,,,,,,,Yes,Graffiti,Vaugirard,1834,Meudon,1866,male,France,"['watercolorist', 'painter', 'musician']",[]
Mobstr,,,,,,,,,2011.0,2012.0,"London, London Borough, England, UK, United Kingdom",,,"{London:2},{UK:2},{London Borough:1},{England:1},{United Kingdom:1}",Yes,Graffiti,,,,,,,muralist,[]
Vyal,,,,,,,,,,,Los Angeles,,,{Los Angeles:3},Yes,Graffiti,,,,,,,[],[]
Eoin,,,,,,,,,2012.0,2014.0,"East London, Dalston",,,"{East London:4},{Dalston:1}",Yes,Graffiti,Argyll,,Kent,1317,male,,military personnel,[]
Ling,,,,,,,,,2014.0,2014.0,"Melbourne, Fitzroy, Australia, Victoria, Brunswick",,,"{Brunswick:2},{Melbourne:2},{Fitzroy:1},{Victoria:1},{Australia:1}",Yes,Graffiti,,600,,544,male,People's Republic of China,"['spy', 'soldier']",[]
Fusca,,,,,,,,,2011.0,2011.0,,,,,Yes,Graffiti,,,,,,,[],[]
Galo,,,,,,,,,2008.0,2014.0,Rome,,,{Rome:2},Yes,Graffiti,San Salvador,1974,,,male,El Salvador,"['politician', 'opera singer', 'vocal coach', 'répétiteur', 'songwriter', 'composer']",[]
Rasel,,,,,,,,,2011.0,2014.0,Greece,,,{Greece:4},Yes,Graffiti,Seville,1982,,,male,Spain,"['singer', 'film actor']",[]
Artkore,,,,,,,,,2010.0,2012.0,"Quezon City, Singapore, Metro Manila, Philippines",,,"{Quezon City:3},{Metro Manila:3},{Philippines:3},{Singapore:2}",Yes,Graffiti,,,,,,,[],[]
Queen Kong,,,,,,,,,2013.0,2015.0,"St. Pauli, Germany, Hamburg",,,"{St. Pauli:3},{Hamburg:3},{Germany:3}",Yes,Graffiti,Los Angeles,1951,,2022,female,United States of America,"['professional wrestler', 'amateur wrestler', 'actor']",[]
Grave,,,,,,,,,,,Washington,,,{Washington:8},Yes,Graffiti,Kirillov,1863,Kyiv,1939,male,Russian Empire,"['academic', 'university teacher', 'mathematician']",[]
Eime,,,,,,,,,2012.0,2013.0,"Paris, Fulton, France",,,"{Fulton:1},{Paris:3},{France:1}",Yes,Graffiti,,,,,,,[],[]
Diablos,,,,,,,,,2013.0,2014.0,,,,,Yes,Graffiti,,,,,female,,[],[]
Akse,,,,,,,,,2012.0,2014.0,East London,,,{East London:4},Yes,Graffiti,,,,,,,[],[]
Hyuro,,,,,,,,,2010.0,2014.0,"Tunisia, Perth, Russia, Djerba, Москва, Erriadh",,,"{Perth:3},{Москва:2},{Russia:2},{Erriadh:1},{Djerba:1},{Tunisia:1}",Yes,Graffiti,Argentina,1974,Valencia,2020,female,Argentina,"['visual artist', 'muralist']",[]
Nio,,,,,,,,,2014.0,2014.0,"Brooklyn, New York",,,"{Brooklyn:2},{New York:2}",Yes,Graffiti,,1998,,,female,Germany,"['rapper', 'songwriter']",[]
LEK,,,,,,,,,2006.0,2014.0,"Paris, Fulton, France",,,"{Fulton:1},{Paris:3},{France:3}",Yes,Graffiti,,,,,,,[],[]
Rsume,,,,,,,,,2013.0,2014.0,"Melbourne, Fitzroy, Australia, Victoria, Brunswick",,,"{Fitzroy:1},{Melbourne:1},{Brunswick:1},{Victoria:1},{Australia:1}",Yes,Graffiti,,,,,,,[],[]
Erik Burke,,,,,,,,,2012.0,2012.0,"United States, Highland Rd, New York, BATON ROUGE",,,"{BATON ROUGE:4},{New York:1},{United States:1},{Highland Rd:2}",Yes,Graffiti,,1963,,,male,Belgium,"['theatrical director', 'scenographer', 'performing artist', 'actor']",[]
Lalone,,,,,,,,,2013.0,2013.0,,,,,Yes,Graffiti,,,,,,,[],[]
Ano,,,,,,,,,,,"Khas Village, New Delhi",,,"{New Delhi:5},{Khas Village:4}",Yes,Graffiti,,1994,,,female,Japan,"['model', 'Japanese idol', 'singer', 'actor', 'rapper']",[]
Willy Sluiter,,,,,,,,,,,Netherlands,,,{Netherlands:3},Yes,Graffiti,Amersfoort,1873,The Hague,1949,male,Kingdom of the Netherlands,"['watercolorist', 'printmaker', 'visual artist', 'painter', 'graphic designer', 'photographer']","{'location': 'Volendam', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Annie Hamel,,,,,,,,,2010.0,2013.0,"Montreal, Canada",,,"{Montreal:9},{Canada:9}",Yes,Graffiti,,,,,female,Canada,visual artist,[]
Slicer,,,,,,,,,2011.0,2014.0,"Melbourne, Ann Street, Australia, Victoria, Brunswick",,,"{Ann Street:1},{Brunswick:5},{Melbourne:9},{Australia:9},{Victoria:2}",Yes,Graffiti,,,,,,,[],[]
Carolina Antoniadis,,,,,,,,,,,"Argentina, Olivos",,,"{Olivos:8},{Argentina:8}",Yes,Graffiti,Rosario,1961,,,female,Argentina,visual artist,[]
Pipsqueak,,,,,,,,,2015.0,2018.0,Amsterdam,,,{Amsterdam:3},Yes,Graffiti,,,,,male,Equestria,[],[]
Laurina Paperina,,,,,,,,,2014.0,2014.0,Rome,,,{Rome:2},Yes,Graffiti,Rovereto,1980,,,female,Italy,artist,[]
Hendrik Beikirch,,,,,,,,,2014.0,2014.0,"Tunisia, Sweden, Djerba, Borås, Erriadh, New Delhi",,,"{Erriadh:1},{Djerba:1},{Tunisia:1},{New Delhi:6},{Borås:3},{Sweden:3}",Yes,Graffiti,Kassel,1974,,,male,Germany,artist,[]
Lister,,,,,,,,,2012.0,2014.0,"Los Angeles, USA, East London, California",,,"{Los Angeles:3},{California:3},{USA:3},{East London:1}",Yes,Graffiti,Upton House,1830,,1908,male,United Kingdom of Great Britain and Ireland,botanist,[]
Jules Muck,,,,,,,,,,,"Los Angeles, USA, California, Arlington",,,"{Arlington:3},{Los Angeles:5},{California:5},{USA:2}",Yes,Graffiti,Stoke-on-Trent,,,,female,United Kingdom,artist,[]
Sambre,,,,,,,,,2013.0,2013.0,"Paris, Fulton, France",,,"{Fulton:1},{Paris:8},{France:8}",Yes,Graffiti,,,,,,,[],[]
Pawn,,,,,,,,,2012.0,2014.0,"Jersey City, United States, Australia, Victoria, Brunswick",,,"{Jersey City:2},{United States:2},{Brunswick:1},{Victoria:1},{Australia:1}",Yes,Graffiti,,1808,,,female organism,,[],[]
Moncho 1929,,,,,,,,,,,"Los Angeles, USA, California, Arlington",,,"{Arlington:2},{Los Angeles:3},{California:3},{USA:1}",Yes,Graffiti,New York City,,,,male,United States of America,"['contemporary artist', 'street artist']",[]
Jorz,,,{Street art:1},,,,,,2009.0,2014.0,"Fitzroy, Melbourne, Greece",,,"{Greece:5},{Fitzroy:1},{Melbourne:1}",Yes,Graffiti,,,,,,,[],[]
Natalia Rak,,,,,,,,,2014.0,2014.0,"Borås, Sweden, Borså",,,"{Borås:3},{Sweden:4},{Borså:1}",Yes,Graffiti,,1986,,,female,Poland,painter,[]
Alina,,,,,,,,,,,"Khas Village, New Delhi",,,"{New Delhi:5},{Khas Village:3}",Yes,Graffiti,Będzin,1912,Auschwitz II-Birkenau concentration camp,1945,female,Poland,[],[]
Aeon,,,,,,,,,2012.0,2014.0,East London,,,{East London:3},Yes,Graffiti,,,,,female,,[],[]
Roma,,,,,,,,,2010.0,2014.0,"East London, New York, United States",,,"{New York:1},{United States:1},{East London:1}",Yes,Graffiti,Tiruchirappalli,1984,,,female,India,"['model', 'actor', 'luger', 'politician']",[]
writers,,,,,,,,,2014.0,2014.0,Rome,,,{Rome:2},Yes,Graffiti,,1901,,,,,"['writer', 'novelist']",[]
Brus,,,,,,,,,2012.0,2014.0,Rome,,,{Rome:4},Yes,Graffiti,Ardning,1938,Graz,2024,male,Austria,"['drawer', 'performance artist', 'film director', 'graphic artist', 'painter', 'poet', 'writer', 'photographer']",[]
Kent Twitchell,,,,,,,,,2009.0,2009.0,"Los Angeles, St., PA, Philadelphia",,,"{St.:2},{Los Angeles:15},{Philadelphia:1},{PA:1}",Yes,Graffiti,Lansing,1942,,,male,United States of America,painter,[]
Exot,,,,,,,,,2012.0,2012.0,Santa María del Buen Aire 902-1000,,,{Santa María del Buen Aire 902-1000:3},Yes,Graffiti,,,,,,,[],[]
Milo Lockett,,,,,,,,,2012.0,2012.0,,,,,Yes,Graffiti,Resistencia,1967,,,male,Argentina,painter,[]
Other,,,,,,,,,2010.0,2014.0,"Montreal, Canada, Wellington St",,,"{Wellington St:1},{Montreal:1},{Canada:1}",Yes,Graffiti,,,,,male,,explorer,[]
Tester,,,,,,,,,2010.0,2014.0,,,,,Yes,Graffiti,,,,,,,botanist,[]
Morik,,,,,,,,,,,"Zachodnia/Więckowskiego, Łódź, Poland",,,"{Łódź:31},{Poland:31},{Zachodnia/Więckowskiego:31}",Yes,Graffiti,,,,,,,[],[]
Jasone,,,,,,,,,2009.0,2013.0,Greece,,,{Greece:7},Yes,Graffiti,,,,,,,[],[]
Tarek Benaoum,,,,,,,,,2013.0,2013.0,"Paris, France",,,"{Paris:2},{France:2}",Yes,Graffiti,Salé,1978,,,male,France,artist,[]
Lady Aiko,,,,,,,,,2008.0,2015.0,"Honolulu, Rome",,,"{Rome:3},{Honolulu:2}",Yes,Graffiti,Tokyo,1975,,,female,Japan,graffiti artist,[]
Five Eight,,,,,,,,,2014.0,2014.0,"Montreal, Canada",,,"{Montreal:3},{Canada:3}",Yes,Graffiti,Montreal,,,,male,Canada,"['muralist', 'painter']",[]
Nase,,,,,,,,,2010.0,2014.0,,,,,Yes,Graffiti,,,,,,,[],[]
Jean-Victor Bertin,,,,,,,,,,,France,,,{France:2},Yes,Graffiti,Paris,1767,Paris,1842,male,France,painter,"{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Ghost,,,,,,,,,2014.0,2015.0,"Melbourne, Fitzroy, New York, Australia, United States, Brunswick",,,"{New York:1},{United States:1},{Brunswick:2},{Melbourne:4},{Fitzroy:1},{Australia:1}",Yes,Graffiti,United Kingdom,2000,,,male,United Kingdom,"['record producer', 'disc jockey', 'vigilante', 'psychic detective', 'musician', 'singer', 'athletics competitor', 'chief mate', 'resistance fighter', 'military personnel', 'food blogger', 'actor', 'professional gamer', 'thief']",[]
Hannelie Coetzee,,,,,,,,,,,"Johannesburg, St",,,"{Johannesburg:14},{St:2}",Yes,Graffiti,,,,,female,South Africa,photographer,[]
Davide Dormino,,,,,,,,,2014.0,2014.0,Rome,,,{Rome:2},Yes,Graffiti,Udine,1973,,,male,Italy,sculptor,[]
Stew,,,,,,,,,2012.0,2014.0,"Tunisia, Djerba, Paris, France, Fulton, Erriadh",,,"{Fulton:1},{Paris:4},{France:4},{Erriadh:3},{Djerba:3},{Tunisia:3}",Yes,Graffiti,Los Angeles,1961,,,male,United States of America,"['stage actor', 'singer-songwriter']",[]
Enzo,,,,,,,,,2013.0,2014.0,"Brooklyn, New York, Los Arrayanes, Huechuraba, San Miguel",,,"{San Miguel:1},{Los Arrayanes:1},{Huechuraba:1},{Brooklyn:2},{New York:2}",Yes,Graffiti,Rome,1919,Midland,2005,male,United States of America,singer,[]
Danielle Mastrion,,,,,,,,,2013.0,2014.0,"New York, United States",,,"{New York:4},{United States:6}",Yes,Graffiti,,1982,,,female,,painter,[]
Smoky,,,,,,,,,2014.0,2015.0,"Xinyi District, Taipei City, Taiwan",,,"{Xinyi District:2},{Taipei City:2},{Taiwan:2}",Yes,Graffiti,,1983,,1957,male,Germany,"['rapper', 'musician', 'singer', 'composer']",[]
Chemis,,,,,,,,,2013.0,2013.0,"United States, St. Joseph, BATON ROUGE",,,"{BATON ROUGE:2},{St. Joseph:4},{United States:1}",Yes,Graffiti,Oral,,,,male,,"['graffiti artist', 'muralist']","{'location': 'Ostředek', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Solo One,,,,,,,,,2012.0,2014.0,East London,,,{East London:4},Yes,Graffiti,,,,,,,[],[]
Hush,,,,,,,,,2012.0,2013.0,"Los Angeles, California, USA, Ann Street, Brunswick",,,"{Los Angeles:2},{California:2},{USA:2},{Ann Street:3},{Brunswick:3}",Yes,Graffiti,Gotham City,1972,,,male,United States of America,"['martial artist', 'criminal', 'impostor', 'surgeon', 'socialite', 'rapper', 'singer', 'composer']",[]
Alaniz,,,,,,,,,2012.0,2015.0,Amsterdam,,,{Amsterdam:16},Yes,Graffiti,,,,,,,[],[]
Pedro Perelman,,,,,,,,,2010.0,2014.0,,,,,Yes,Graffiti,,1979,,,male,,visual artist,[]
Jim Avignon,,,,,,,,,1990.0,2015.0,"St. Pauli, Germany, Hamburg",,,"{St. Pauli:2},{Hamburg:2},{Germany:2}",Yes,Graffiti,Munich,1966,,,male,Germany,"['new media artist', 'painter']","{'location': 'Berlin', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Enoe,,,,,,,,,2013.0,2016.0,"Fairmount Ave, United States, Jersey City",,,"{Fairmount Ave:4},{Jersey City:5},{United States:5}",Yes,Graffiti,,,,,,,[],[]
Cabe,,,,,,,,,2010.0,2014.0,,,,,Yes,Graffiti,,,,,,,[],[]
Amara,,,,,,,,,2012.0,2014.0,East London,,,{East London:3},Yes,Graffiti,Jakarta,1975,,,female,Indonesia,"['producer', 'model', 'songwriter', 'singer', 'actor', 'spiritual medium', 'musician']",[]
Elmo,,,,,,,,,2014.0,2016.0,"New York, United States",,,"{New York:2},{United States:2}",Yes,Graffiti,Antioch,300,Illyria,303,male,Doriath,"['presbyter', 'Catholic bishop', 'singer', 'investor', 'chief executive officer', 'shareholder', 'entrepreneur']",[]
Rubin,,,,,,,,,2012.0,2014.0,"Brooklyn, Wyckoff Ave, New York, Jersey City, St, United States",,,"{Wyckoff Ave:2},{Brooklyn:2},{Jersey City:4},{United States:6},{St:3},{New York:1}",Yes,Graffiti,Siegen,1577,Antwerp,1640,male,Spanish Netherlands,"['architectural draftsperson', 'printmaker', 'graphic artist', 'sculptor', 'painter', 'diplomat', 'film director', 'guitarist', 'musician', 'record producer', 'composer', 'screenwriter', 'politician', 'merchant', 'photographer']","[{'location': 'Verona', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Madrid', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Alicante', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Maastricht', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Cologne', 'start_time': '1578-01-01T00:00:00Z', 'end_time': '1587-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Dover', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Utrecht', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Antwerp', 'start_time': '1590-01-01T00:00:00Z', 'end_time': '1600-03-09T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'The Hague', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Affligem', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Calais', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'La Rochelle', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Elewijt', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Mantua', 'start_time': '1600-07-01T00:00:00Z', 'end_time': '1608-05-05T00:00:00Z', 'point_in_time': None}, {'location': 'Delft', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'City of Brussels', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Amsterdam', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Valladolid', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Haarlem', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Liège', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'San Lorenzo de El Escorial', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Genoa', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Venice', 'start_time': None, 'end_time': None, 'point_in_time': '1600-07-01T00:00:00Z'}, {'location': 'Rotterdam', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Florence', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'London', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Breda', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
