artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type
Vasily Surikov,Russian,Peredvizhniki (Society for Traveling Art Exhibitions),{Realism:267},"autumn,rivers-and-waterfalls,forests-and-trees,female-portraits,mountains,winter,streets-and-squares,Moscow,male-portraits,famous-people,knights-and-warriors,Kiev Rus,Igor-of-Kiev,male-portraits,children portraits,streets-and-squares,houses-and-buildings,Moscow,Kremlin,boats-and-ships,male-portraits,famous-people,boats-and-ships,Stenka-Razin,male-portraits,characters-and-emotions,protest-actions,animals,famous-people,deer,Peterhof-Palace,hunting-and-racing,military-and-soldiers,military-and-soldiers,musical-instruments,winter,military-and-soldiers,female-portraits,children portraits,famous-people,fields-and-plains,male-portraits,boats-and-ships,boats-and-ships,military-and-soldiers,battles-and-wars,military-and-soldiers,executions,castles-and-fortresses,cliffs-and-rocks,characters-and-emotions,troubles-and-disasters,winter,Moscow,forests-and-trees,characters-and-emotions,famous-people,prisons-and-prisoners,streets-and-squares,Moscow,Kremlin,night,Ivan-the-Great-Bell-Tower,lamps-and-candles,lanterns,famous-people,murder-and-suicide,Julius-Caesar,battles-and-wars,beasts-and-dragons,spirits-and-ghosts,Christianity,celebrations-and-festivals,palaces-and-mausoleums,Old-Testament,Christianity,Jesus-Christ,Purification-of-temple,Christianity,Jesus-Christ,Satan,Temptation of Christ,animals,Christianity,Jesus-Christ,camels,streets-and-squares,taverns-and-inns,twilight-and-night,St.-Petersburg,","Tretyakov Gallery, Moscow, Russia,","Yermak's conquest of Siberia,Boyarynya Morozova,",,"Artists2/Vasily Surikov/Yenisey Near Krasnoyarsk 1909.jpg,Artists2/Vasily Surikov/Portrait Of Khakasy 1909.jpg,Artists2/Vasily Surikov/Portrait Of A I Yemelyanova 1909.jpg,Artists2/Vasily Surikov/Mountains Near Krasnoyarsk 1909.jpg,Artists2/Vasily Surikov/View Of Moscow 1908.jpg,Artists2/Vasily Surikov/Portrait Of E V Surikova 1908.jpg,Artists2/Vasily Surikov/Portrait Of A P Yurgenson 1908.jpg,Artists2/Vasily Surikov/Self Portrait 1915.jpg,Artists2/Vasily Surikov/Princess Olga Meets The Body Of Prince Igor 1915.jpg,Artists2/Vasily Surikov/Portrait Of M P Konchalovsky In Childhood 1915.jpg,Artists2/Vasily Surikov/Portrait Of M Velichkina Nee Baroness Von Klodt Yurgensburg 1914.jpg,Artists2/Vasily Surikov/Old Krasnoyarsk 1914.jpg,Artists2/Vasily Surikov/Maria S Head.jpg,Artists2/Vasily Surikov/View Of Kremlin 1913.jpg,Artists2/Vasily Surikov/Boatsman 1912.jpg,Artists2/Vasily Surikov/Portrait Of Young Woman 1911.jpg,Artists2/Vasily Surikov/Portrait Of Woman With Yellow Background 1911.jpg,Artists2/Vasily Surikov/Portrait Of A A Dobrinskaya 1911.jpg,Artists2/Vasily Surikov/Portrait Of Princess P I Shcherbatova 1910.jpg,Artists2/Vasily Surikov/Head Of Girl Portrait Of Z S Khaminova 1908.jpg,Artists2/Vasily Surikov/Portrait Of E N Sabashnikova 1907.jpg,Artists2/Vasily Surikov/Portrait Of Alexander Suvorov 1907.jpg,Artists2/Vasily Surikov/Portrait Of Young Lady 1906.jpg,Artists2/Vasily Surikov/Head Of A Young Cossack 1905.jpg,Artists2/Vasily Surikov/Stepan Razin 1.jpg,Artists2/Vasily Surikov/Stepan Razin.jpg,Artists2/Vasily Surikov/Portrait Of A I Yemelyanova 1903.jpg,Artists2/Vasily Surikov/The Persian 1902.jpg,Artists2/Vasily Surikov/Self Portrait 1902.jpg,Artists2/Vasily Surikov/Female Portrait 1902.jpg,Artists2/Vasily Surikov/Cossack With Red Shirt.jpg,Artists2/Vasily Surikov/Empress Anna Ioannovna In Peterhof Temple Shoots Deer 1900.jpg,Artists2/Vasily Surikov/Russian Troops Under Suvorov Crossing The Alps Study 1899.jpg,Artists2/Vasily Surikov/The Head Of Soldier Drummer 1898.jpg,Artists2/Vasily Surikov/Soldier With Gun 1898 1.jpg,Artists2/Vasily Surikov/Soldier With Gun 1898.jpg,Artists2/Vasily Surikov/Soldier With Drum 1898.jpg,Artists2/Vasily Surikov/Soldier Descending From The Snowy Mountain 1898.jpg,Artists2/Vasily Surikov/Soldier 1898.jpg,Artists2/Vasily Surikov/Old Soldier Descending From The Snowy Mountain 1898.jpg,Artists2/Vasily Surikov/Head Of Suvorov 1898.jpg,Artists2/Vasily Surikov/Snowy Mountains 1897.jpg,Artists2/Vasily Surikov/Head Baptized Soldier 1897.jpg,Artists2/Vasily Surikov/Shooting Cossack.jpg,Artists2/Vasily Surikov/Portrait Of Girl With Red Dress.jpg,Artists2/Vasily Surikov/Yermak With Cossacks Study To The Conquest Of Siberia By Yermak 1893.jpg,Artists2/Vasily Surikov/Tatar S Heads Old And Young 1893.jpg,Artists2/Vasily Surikov/Cossack Dmitry Sokol 1893.jpg,Artists2/Vasily Surikov/Cossack 1893.jpg,Artists2/Vasily Surikov/View Of Krasnoyarsk From Knoll.jpg,Artists2/Vasily Surikov/Portrait Of Young Woman With Kokoshnik 1892.jpg,Artists2/Vasily Surikov/Portrait Of L T Matorina Cossack Woman 1892.jpg,Artists2/Vasily Surikov/Cossack Rower 1892.jpg,Artists2/Vasily Surikov/Yermak S Conquest Of Siberia Study 1.jpg,Artists2/Vasily Surikov/Yermak S Conquest Of Siberia Study.jpg,Artists2/Vasily Surikov/Yermak S Conquest Of Siberia Study 1891.jpg,Artists2/Vasily Surikov/Executioner 1891.jpg,Artists2/Vasily Surikov/Cossack S Head 1891.jpg,Artists2/Vasily Surikov/Portrait Of Young Woman In Fur Coat With Muff 1890.jpg,Artists2/Vasily Surikov/Portrait Of Young Leonid Chernyshev 1890.jpg,Artists2/Vasily Surikov/Head Of Young Lady 1890.jpg,Artists2/Vasily Surikov/Portrait Of A I Surikov.jpg,Artists2/Vasily Surikov/View Of Krasnoyarsk 1887.jpg,Artists2/Vasily Surikov/Portrait Of E A Surikova.jpg,Artists2/Vasily Surikov/Young Lady With Violet Overcoat.jpg,Artists2/Vasily Surikov/Kneeling Beggar.jpg,Artists2/Vasily Surikov/Head Of A Woman In Black Shawl 1886.jpg,Artists2/Vasily Surikov/Winter In Moscow.jpg,Artists2/Vasily Surikov/Thoughtful Teenager 1885.jpg,Artists2/Vasily Surikov/Portrait Of O V Surikova.jpg,Artists2/Vasily Surikov/Female Portrait 1885.jpg,Artists2/Vasily Surikov/Venice Saint Mark S Basilica 1884.jpg,Artists2/Vasily Surikov/Road In Khotkovo 1884.jpg,Artists2/Vasily Surikov/Portrait Of I S Ostroukhov 1884.jpg,Artists2/Vasily Surikov/Portrait Of I E Krachkovsky 1884.jpg,Artists2/Vasily Surikov/Female Figures Wanderer Whacky Study To Boyarynya Morozova.jpg,Artists2/Vasily Surikov/The Model In The Ancient Russian Costume 1882.jpg,Artists2/Vasily Surikov/Boyarynya Morozova Study.jpg,Artists2/Vasily Surikov/Menshikov S Head In Profile 1882.jpg,Artists2/Vasily Surikov/Illumination Of Moscow 1882.jpg,Artists2/Vasily Surikov/Portrait Of N S Matveev 1881.jpg,Artists2/Vasily Surikov/Portrait Of A S Matveev In Childhood 1881.jpg,Artists2/Vasily Surikov/Icon Lamp.jpg,Artists2/Vasily Surikov/Strelets With Cap 1879.jpg,Artists2/Vasily Surikov/Blackbearded Old Man 1879.jpg,Artists2/Vasily Surikov/Head Of Cossack 1879.jpg,Artists2/Vasily Surikov/Portrait Of E K Deryagina 1879.jpg,Artists2/Vasily Surikov/Assassination Of Julius Caesar.jpg,Artists2/Vasily Surikov/The Fight Of Good Spirits Against Evil Spirits 1875.jpg,Artists2/Vasily Surikov/The Good Samaritan 1874.jpg,Artists2/Vasily Surikov/Belshazzar S Feast 1874.jpg,Artists2/Vasily Surikov/Christ Driving The Merchants From The Temple 1873.jpg,Artists2/Vasily Surikov/Temptation Of Christ 1872.jpg,Artists2/Vasily Surikov/Holy Face 1872.jpg,Artists2/Vasily Surikov/Evening In Petersburg 1871.jpg,",1884.0,1910.0,"Saint Petersburg, Russia, Moscow",Realism:1884-1910,"{Realism:261}, {Impressionism:15}, {Academicism:3}","{Moscow:46},{Russia:49},{Saint Petersburg:2}",No,
Édouard Baldus,,,"{Renaissance:1},{Mannerism:1}",,,,,,1850.0,1869.0,"La Voulte, Orange, Paris, France, Nimes, Arles",,,"{Paris:97},{France:111},{Arles:3},{Nimes:2},{Orange:1},{La Voulte:1}",No,
Henri Matisse,French,"École de Paris,Les Fauves","{Impressionism,Post-Impressionism:977}","Edvard Munch,Pierre-Auguste Renoir,Alfred Sisley,","Marc Chagall,Pablo Picasso,Lee Krasner,Max Pechstein,Fernand Leger,Chaim Soutine,Karel Appel,Balcomb Greene,Man Ray,Mikhail Larionov,Guan Zilan,Carlos Nadal,",,,"Xavier Martinez,",1890.0,1953.0,"London, Moscow, CA, UK, Norway, Canada, Canberra, MO, Switzerland, Amsterdam, Sao Paulo, San Diego, US, Chicago, Netherlands, Cleveland, Washington DC, Baltimore, Germany, St. Louis, Ottawa, IL, Cambridge, Essen, Troyes, Brazil, Edinburgh, Australia, Los Angeles, Brussels, Glasgow, MA, San Francisco, Lille, Paris, Norfolk, Nancy, Denmark, Buffalo, Philadelphia, Bordeaux, Detroit, MI, Basel, Vence, Belgium, Boston, Russia, Nice, Saint Petersburg, Oslo, VA, Los Angeles County Museum of Art, France, NY, MD, Fort Worth, OH, PA, New York City","Expressionism:1899-1951,Fauvism:1900-1944,Cubism:1909-1948,Post-Impressionism:1896-1940,Impressionism:1895-1918,Orientalism:1912-1928,Abstract Expressionism:1943-1953,Pointillism:1904-1905,Abstract Art:1915-1953,Color Field Painting:1953-1953,Divisionism:1897-1905,Realism:1890-1903","{Expressionism:288}, {Fauvism:61}, {Cubism:12}, {Post-Impressionism:151}, {Impressionism:30}, {Orientalism:16}, {Abstract Expressionism:44}, {Pointillism:5}, {Abstract Art:2}, {Color Field Painting:1}, {Divisionism:7}, {Realism:16}","{Saint Petersburg:35},{Russia:43},{PA:18},{US:62},{Moscow:8},{Paris:38},{France:50},{Philadelphia:4},{Switzerland:4},{Glasgow:1},{UK:9},{Sao Paulo:1},{Brazil:1},{Ottawa:1},{Canada:1},{Baltimore:6},{MD:6},{Cleveland:1},{OH:1},{Chicago:3},{IL:3},{London:6},{New York City:13},{NY:15},{Washington DC:1},{Canberra:1},{Australia:1},{Los Angeles:7},{CA:10},{Vence:1},{Denmark:3},{Lille:1},{Nice:1},{Troyes:3},{Belgium:2},{Brussels:1},{Fort Worth:1},{Edinburgh:1},{Basel:3},{Buffalo:2},{Bordeaux:3},{Amsterdam:1},{Netherlands:1},{Nancy:1},{Los Angeles County Museum of Art:6},{Detroit:3},{MI:3},{San Diego:1},{San Francisco:2},{Norfolk:1},{VA:1},{Oslo:1},{Norway:1},{Essen:1},{Germany:1},{Boston:2},{MA:2},{Cambridge:1},{St. Louis:1},{MO:1}",No,
Matthias Grünewald,,,,,,,,,1510.0,1524.0,,,,,No,
Pieter de Hooch,,,"{Dutch Golden Age:1},{Baroque:1}",,,,,,,,,,"{Northern Netherlands School:1}, {Dutch:1}",,,
Antoine Bourdelle,,,,,,,,,1899.0,1952.0,France,Sculpture:1899-1909,{Sculpture:2},{France:2},No,
Donatello,Italian,Florentine School,"{Early renaissance:1},{Italian Renaissance:1},{Renaissance:1},{Early Renaissance:14}","Giacomo Manzu,Auguste Rodin,","Giacomo Manzu,Auguste Rodin,","Andrea del Verrochio,Erasmo Marzi da Narni,","Lorenzo Ghiberti,",,1406.0,1460.0,"London, UK, Victoria",Early Renaissance:1408-1460,{Early Renaissance:12},"{Victoria:1},{London:1},{UK:1}",No,
Thomas Nast,,,,,,,,,1862.0,1885.0,,,,,No,
Charles Conder,Australian,Heidelberg School,"{Heidelberg School:2},{Modern art:2},{Impressionism:5}",,,,,,1888.0,1891.0,"Sydney, Adelaide, Australia, Melbourne",Impressionism:1888-1891,{Impressionism:3},"{Australia:4},{Sydney:1},{Melbourne:1},{Adelaide:1}",No,
Viktor Vasnetsov,Russian,"Peredvizhniki (Society for Traveling Art Exhibitions),Union of Russian Artists","{Romanticism,Symbolism:192}",,"Oleksandr Murashko,",,,,1866.0,1926.0,"Russia, Kyiv, Moscow, Saint Petersburg, Ukraine, Polenovo","Romanticism:1878-1926,Symbolism:1878-1918,Realism:1866-1926,Art Nouveau (Modern):1885-1896","{Romanticism:111}, {Symbolism:30}, {Realism:72}, {Art Nouveau (Modern):6}","{Moscow:28},{Russia:35},{Kyiv:1},{Ukraine:1},{Polenovo:1},{Saint Petersburg:1}",No,
Jeff Koons,American,,{Neo-Pop Art:22},"Andy Warhol,","Damien Hirst,",,,"Damien Hirst,",1988.0,2015.0,,Neo-Pop Art:1988-2015,{Neo-Pop Art:22},,Yes,
Giovanni Battista Piazzetta,,,,,,,,,1737.0,1737.0,"Venice, Italy",,,"{Venice:3},{Italy:3}",No,
Andrea del Verrocchio,,,"{Italian Renaissance:2},{Florentine painting:2},{Renaissance:2}",,,,,,,,,,"{Renaissance/ Altarpiece:1}, {Italian:1}",,,
Artemisia Gentileschi,Italian,"Florentine School,Caravaggisti",{Baroque:19},"Caravaggio,",,,"Orazio Gentileschi,",,1610.0,1649.0,"London, US, Pommersfelden, Italy, Naples, St. Louis, Germany, UK, MO, Florence, Bologna","Tenebrism:1613-1642,Baroque:1610-1639","{Baroque / Caravaggesque style / 'pittura di storia':1}, {Tenebrism:6}, {Baroque:13}","{London:1},{UK:1},{Bologna:1},{Italy:4},{Naples:1},{Florence:2},{St. Louis:1},{MO:1},{US:1},{Pommersfelden:1},{Germany:1}",No,
Alexej von Jawlensky,,,,,,,,,1908.0,1910.0,Germany,,,{Germany:1},No,
Yun Du-seo,,,,,,,,,1668.0,1715.0,,,,,No,
Giulio Romano,,,"{Italian Renaissance:3},{Renaissance:3},{Mannerism:1}",,,,,,1524.0,1534.0,Italy,,,{Italy:2},No,
Théodore Chassériau,,,,,,,,,1840.0,1854.0,,,,,No,
Kōgyo Tsukioka,,,,,,,,,,,Japan,,,{Japan:1},,
Marsden Hartley,American,Stieglitz group,"{American modernism:1},{Modern art:1},{Abstract Art,Regionalism:33}",,,,,,1906.0,1941.0,"NY, New York City, US","Expressionism:1908-1941,Regionalism:1906-1937,Cubism:1915-1933,Abstract Art:1913-1917,Pointillism:1906-1909","{Expressionism:16}, {Regionalism:8}, {Cubism:5}, {Abstract Art:10}, {Pointillism:3}","{New York City:1},{NY:1},{US:1}",No,
Laurent de La Hyre,,,"{Classicism:4},{Baroque:14}",,,,,,1630.0,1647.0,,,,,No,
Ivan Aivazovsky,"Russian,Armenian",Cimmerian Art School,{Romanticism:579},,,,,"Artists2/Ivan Aivazovsky/Sea View.jpg,Artists2/Ivan Aivazovsky/Sea View 1900.jpg,Artists2/Ivan Aivazovsky/Sea View 1899.jpg,Artists2/Ivan Aivazovsky/Sea View 1895.jpg,Artists2/Ivan Aivazovsky/Sea View 1892.jpg,Artists2/Ivan Aivazovsky/Mine Attack 1877.jpg,Artists2/Ivan Aivazovsky/The Sunrize 1874.jpg,Artists2/Ivan Aivazovsky/Sea View 1865.jpg,Artists2/Ivan Aivazovsky/Portrait Of Senator Alexander Ivanovich Kaznacheyev 1848.jpg,Artists2/Ivan Aivazovsky/Sea Battle At Revel 1846.jpg,Artists2/Ivan Aivazovsky/Sea View 1841 1.jpg,",1834.0,1900.0,"Yerevan, Russia, Moscow, Ankara, Saint Petersburg, Kazan, Ukraine, Turkey, Mykolayiv, Palace, Armenia, Minsk, Belarus",Romanticism:1834-1900,{Romanticism:579},"{Russia:19},{Ukraine:11},{Moscow:14},{Yerevan:1},{Armenia:1},{Mykolayiv:1},{Minsk:2},{Belarus:2},{Palace:2},{Ankara:2},{Turkey:2},{Saint Petersburg:3},{Kazan:1}",No,
Kiyokata Kaburagi,Japanese,,"{Taishō period (1912–1926),Shōwa period (1926–1989):24}",,,,,,1903.0,1931.0,Japan,Shin-hanga:1903-1931,{Shin-hanga:24},{Japan:2},No,
John Robert Cozens,,,{Romanticism:3},,,,,,1792.0,1792.0,London,,,{London:446},No,
Cindy Sherman,American,Pictures Generation,"{Feminist Art,Conceptual Art:123}",,,,,,1975.0,2010.0,,Feminist Art:1975-2010,{Feminist Art:123},,Yes,
Nikos Hadjikyriakos-Ghikas,,,,,,,,,1937.0,1978.0,"France, Great Britain, Japan, Greece",,,"{Great Britain:2},{Greece:18},{France:3},{Japan:1}",No,
Kurt Schwitters,German,"Abstraction-Création,Degenerate art",{Dada:39},,"Jessica Stockholder,Fernando García Ponce,",,,,1919.0,1947.0,"London, US, Germany, Los Angeles, Hanover, CA, UK, Los Angeles County Museum of Art, Paris, NY, France, Düsseldorf, Buffalo, New York City","Dada:1919-1947,Expressionism:1919-1919","{Dada:38}, {Expressionism:1}","{Buffalo:1},{NY:8},{US:9},{New York City:7},{London:1},{UK:1},{Düsseldorf:2},{Germany:3},{Hanover:1},{Los Angeles County Museum of Art:1},{Los Angeles:1},{CA:1},{Paris:1},{France:1}",No,
Giovanni Segantini,"Italian,Swiss",,"{Neo-impressionism:1},{Modern art:1},{Post-Impressionism,Symbolism:83}","Anton Mauve,Jean-Francois Millet,",,,,,1878.0,1899.0,"Berlin, Germany, Italy, Warsaw, Netherlands, UK, Adelaide, Budapest, Munich, Japan, Tokyo, Poland, Hungary, Switzerland, Liverpool, Amsterdam, Australia, Zürich","Symbolism:1878-1899,Divisionism:1879-1899,Impressionism:1880-1899","{Symbolism:70}, {Divisionism:54}, {Impressionism:3}","{Italy:2},{Tokyo:2},{Japan:2},{Zürich:1},{Switzerland:1},{Budapest:2},{Hungary:2},{Berlin:1},{Germany:2},{Liverpool:1},{UK:1},{Adelaide:1},{Australia:1},{Warsaw:1},{Poland:1},{Munich:1},{Amsterdam:1},{Netherlands:1}",No,
Gerard David,Flemish,Bruges School,{Northern Renaissance:54},"Hugo van der Goes,",,,,,1475.0,1520.0,"London, Rotterdam, Museo del Prado, UK, Bruges, Spain, Switzerland, US, Germany, Netherlands, Edinburgh, Austria, Paris, Vienna, Basel, Belgium, Munich, France, NY, Madrid, Lyon, Amsterdam, Rouen, Main, New York City",Northern Renaissance:1475-1520,"{Netherlandish:1}, {Northern Renaissance:54}","{Munich:1},{Germany:2},{Paris:6},{France:8},{Rotterdam:1},{Netherlands:2},{New York City:4},{NY:4},{US:4},{London:3},{UK:4},{Museo del Prado:1},{Madrid:2},{Spain:2},{Edinburgh:1},{Vienna:4},{Austria:4},{Rouen:1},{Bruges:6},{Belgium:6},{Amsterdam:1},{Lyon:1},{Main:1},{Basel:1},{Switzerland:1}",No,
Jan van Huysum,,,,,,,,,1720.0,1720.0,,,{Northern Netherlands School:1},,No,
James Tissot,French,,"{Realism,Impressionism:451}",,,,,,1860.0,1902.0,"London, UK, Tate Britain, Canada, Toronto, US, Melbourne, Williamstown, Ottawa, Australia, MA, Bristol, Paris, Boston, Sydney, Ireland, Dublin, Russia, Saint Petersburg, Toledo, France, NY, OH, Fredericton, New York City","Symbolism:1884-1902,Realism:1860-1902,Japonism:1869-1878,Impressionism:1867-1890","{Symbolism:119}, {Realism:262}, {Japonism:4}, {Impressionism:24}","{France:5},{New York City:97},{NY:97},{US:100},{Boston:1},{MA:2},{Toronto:1},{Canada:3},{Saint Petersburg:1},{Russia:1},{Ottawa:1},{Sydney:1},{Australia:2},{London:4},{UK:5},{Tate Britain:2},{Fredericton:1},{Williamstown:1},{Toledo:1},{OH:1},{Melbourne:1},{Bristol:1},{Paris:3},{Dublin:1},{Ireland:1}",No,
Kuroda Seiki,,,,,,,,,1889.0,1919.0,,,,,No,
Jannis Kounellis,"Italian,Greek",,"{Contemporary art:3},{Arte Povera:14}",,,,,,1960.0,2008.0,"London, Australia, Sydney, United Kingdom",Post-Minimalism:1960-2004,{Post-Minimalism:14},"{London:1},{United Kingdom:1},{Sydney:1},{Australia:1}",Yes,
Sin Saimdang,,,,,,,,,1504.0,1551.0,,,,,No,
Piero della Francesca,,,,,,,,,,,,,{Renaissance/ Portrait:2},,,
Ivan Shishkin,Russian,Peredvizhniki (Society for Traveling Art Exhibitions),{Realism:521},"Caspar David Friedrich,",,,,"Artists2/Ivan Shishkin/Edge Of The Forest 2.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1.jpg,Artists2/Ivan Shishkin/Edge Of The Forest.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1892.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1890.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1884.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1879.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1873.jpg,Artists2/Ivan Shishkin/Edge Of The Forest 1866.jpg,",1854.0,1898.0,"Lviv, Russia, Moscow, Kyiv, Kazan, Ukraine, Minsk, Taganrog, Belarus, Khabarovsk",Realism:1854-1898,{Realism:521},"{Lviv:1},{Ukraine:9},{Moscow:17},{Russia:20},{Khabarovsk:1},{Kazan:1},{Kyiv:8},{Minsk:1},{Belarus:1},{Taganrog:1}",No,
Lewis Carroll,British,,{Pictorialism:46},,,,,,1855.0,1879.0,England,Pictorialism:1855-1879,{Pictorialism:46},{England:1},No,
Gabriël Metsu,,,,,,,,,1641.0,1665.0,,,{Northern Netherlands School:1},,No,
Giovanni Battista Moroni,,,,,,,,,1557.0,1560.0,,,{Italian Mannerism:1},,No,
Rosso Fiorentino,Italian,Florentine School,{Mannerism (Late Renaissance):21},,,,,,1517.0,1540.0,"Berlin, Germany, Italy, Russia, Saint Petersburg, Volterra, Paris, France, Florence",Mannerism (Late Renaissance):1517-1540,"{Mannerism/ Altarpiece:1}, {Mannerism/ Fragment of altarpiece:1}, {Mannerism (Late Renaissance):21}","{Florence:1},{Italy:2},{Saint Petersburg:2},{Russia:2},{Volterra:1},{Paris:1},{France:1},{Berlin:1},{Germany:1}",No,
Simone Cantarini,,,"{Bolognese School:24},{Baroque:24}",,,,,,1640.0,1640.0,,,,,No,
Paulus Potter,,,"{Dutch Golden Age:1},{Baroque:1}",,,,,,1647.0,1650.0,"Netherlands, Hague",,,"{Netherlands:24},{Hague:1}",No,
Achille Devéria,,,,,,,,,1850.0,1855.0,"France, New York",,,"{New York:2},{France:1}",No,
Pedro Figari,Uruguayan,,"{Post-Impressionism:3},{Primitivism:3},{Modern art:3},{Modernismo:3}",,,,,,1935.0,1935.0,,,{Modernismo:3},,No,
Hélio Oiticica,,,,,,,,,1957.0,1986.0,,,,,,
Nicolaes Pieterszoon Berchem,,,,,,,,,1645.0,1655.0,"Netherlands, Northern Netherlands, Amsterdam",,,"{Netherlands:42},{Northern Netherlands:3},{Amsterdam:4}",No,
Frank Duveneck,,,"{Modern art:1},{Impressionism:1}",,,,,,1879.0,1887.0,,,,,No,
Ai Weiwei,,,,,,,,,2015.0,2015.0,,,,,Yes,
Francis Wheatley,,,,,,,,,1770.0,1786.0,"London, Ireland",,,"{Ireland:18},{London:17}",No,
Rosalba Carriera,Italian,,{Rococo:38},,,,,,1701.0,1746.0,"Germany, Italy","Roccoco:1730-1730,Rococo:1701-1746","{Roccoco:1}, {Rococo:38}","{Germany:1},{Italy:1}",No,
Mark Jenkins,,,,,,,,,2008.0,2013.0,"Germany, Rome, Munich",,,"{Rome:1},{Munich:10},{Germany:10}",Yes,
Taryn Simon,,,{Contemporary art:3},,,,,,2013.0,2013.0,,,,,Yes,
Peter Lely,,,,,,,,,1650.0,1674.0,,,,,No,
Hans Baldung,German,Upper Rhine School,{Northern Renaissance:101},,,,,,1502.0,1544.0,"London, Museo del Prado, UK, Spain, Canada, Switzerland, Germany, Israel, Ottawa, Leipzig, Jerusalem, Erfurt, Italy, Dresden, Albertina, Austria, Paris, Florence, Vienna, Basel, Nuremberg, Berlin, Frankfurt, Munich, France, Madrid, Main",Northern Renaissance:1502-1544,"{Upper Rhine:1}, {XVI CenturyGerman Painting:1}, {Northern Renaissance:101}","{Germany:22},{Munich:6},{Leipzig:1},{Jerusalem:2},{Israel:2},{Museo del Prado:3},{Madrid:5},{Spain:5},{Nuremberg:7},{Erfurt:1},{Berlin:5},{Frankfurt:1},{Main:1},{Basel:2},{Switzerland:2},{Florence:1},{Italy:1},{Albertina:2},{Vienna:2},{Austria:2},{London:2},{UK:2},{Dresden:1},{Ottawa:1},{Canada:1},{Paris:2},{France:2}",No,
Ogata Gekkō,,,,,,,,,,,Japan,,,{Japan:4},,
Chihiro Iwasaki,,,,,,,,,1946.0,1973.0,,,,,No,
Grayson Perry,,,,,,,,,2000.0,2000.0,,,,,Yes,
Félix Bonfils,,,,,,,,,1867.0,1880.0,"Bethany, Lebanon, Greece, Jaffa, Israel, Beirut, Palestine, Syria, Athens, Egypt, France, Baalbek, Antinoe, Jerusalem, Thebes, Damascus",,,"{Thebes:10},{Egypt:11},{Jaffa:1},{Palestine:7},{Israel:16},{Bethany:1},{Antinoe:1},{Jerusalem:16},{Athens:6},{Greece:6},{Damascus:1},{Syria:1},{Baalbek:1},{Lebanon:2},{Beirut:1},{France:1}",No,
James Turrell,American,,"{Light and Space,Environmental Art:135}","Crater Spaces,Ganzfelds,Skyspaces,Kunsthalle Bremen, Bremen, Germany,Tunnel Pieces,",,,,,1967.0,2013.0,"Israel, Jerusalem","Light and Space:1967-2013,Environmental (Land) Art:1974-2013,Minimalism:1991-1991","{Environmental (Land) Art:35}, {Light and Space:133}, {Minimalism:1}","{Jerusalem:1},{Israel:1}",Yes,
Jan van Goyen,,,"{Dutch Golden Age:14},{Baroque:14}",,,,,,1644.0,1653.0,"Netherlands, Holland",,,"{Holland:1},{Netherlands:2}",No,
Jasper Francis Cropsey,,,"{Luminism:1},{Hudson River School:1}",,,,,,1845.0,1876.0,"NY, United States",,,"{NY:1},{United States:1}",No,
Georg Pencz,,,"{German Renaissance:5},{Northern Renaissance:5},{Renaissance:5}",,,,,,1533.0,1540.0,Germany,,,{Germany:55},No,
Ferdinand Bol,Dutch,,"{Dutch Golden Age:1},{Baroque:80}","Rembrandt,",,,"Rembrandt,",,1630.0,1680.0,"CA, Moscow, Cincinnati, Indianapolis, Amsterdam, US, Netherlands, Germany, Warsaw, Leipzig, Los Angeles, Hague, AL, Russia, Saint Petersburg, Los Angeles County Museum of Art, Munich, NY, IN, Poland, OH, New York City",Baroque:1630-1680,{Baroque:79},"{Amsterdam:44},{Netherlands:35},{Munich:2},{Germany:3},{OH:2},{US:7},{Los Angeles County Museum of Art:2},{Los Angeles:2},{CA:2},{Hague:3},{Saint Petersburg:4},{Russia:5},{Warsaw:3},{Poland:3},{Indianapolis:1},{IN:1},{AL:1},{Moscow:1},{Leipzig:1},{Cincinnati:1},{New York City:1},{NY:1}",No,
Giambologna,Flemish,,{Mannerism (Late Renaissance):50},,,,,,1562.0,1600.0,"US, Italy, Tuscany, Baltimore, NY, MD, Denmark, Florence, Amsterdam, New York City",Mannerism (Late Renaissance):1562-1600,{Mannerism (Late Renaissance):49},"{Italy:4},{Amsterdam:1},{Tuscany:1},{Florence:2},{New York City:11},{NY:11},{US:13},{Denmark:1},{Baltimore:2},{MD:2}",No,
Ralph Morse,,,,,,,,,1901.0,1995.0,,,,,,
Charles-André van Loo,,,,,,,,,1764.0,1764.0,France,,"{French painting:1}, {18th century:1}, {Court portrait:1}",{France:1},No,
Willem van de Velde the Younger,,,,,,,,,1645.0,1666.0,"Netherlands, Northern Netherlands",,{Northern Netherlands School:1},"{Netherlands:1},{Northern Netherlands:4}",No,
Inshō Dōmoto,,,,,,,,,1914.0,1968.0,,,,,No,
